ID,Parent_SMILES,Value
48,CC(O/N=C(\c(cccc1)c1N1)/C1=C(\c(ccc(Br)c1)c1N1)/C1=O)=O,6.304432373
49,COc(c(OC(c1ccccc1)=C1)c(c(O)c2)C1=O)c2O,4.522878745
50,OC([C@](Cc1nc(Nc2nccs2)ccc1)(CC1)CC[C@@H]1Oc1cccc(Cl)c1F)=O,6.430676921
51,CN(C)CCN(C)c(cc(c(Nc1nc(-c2c[nH]c3c2cccc3)ccn1)c1)OC)c1NC(C=C)=O,8.698970004
52,COc(cc1c(Oc(ccc(NC(C2(CC2)C(Nc(cc2)ccc2F)=O)=O)c2)c2F)ccnc1c1)c1OCCCN1CCOCC1,7.350169404
53,Cc(ccc(NC(c1cc(C(F)(F)F)c(CN(CC2)C[C@H]2N(C)C)cc1)=O)c1)c1Nc(nc1)ncc1-c1cncnc1,4.522878745
54,CNC(c1nccc(Oc(cc2)ccc2NC(Nc(cc2)cc(C(F)(F)F)c2Cl)=O)c1)=O,1
55,CN1CCN(Cc(cc2)ccc2-c(cc23)cnc2[nH]cc3-c(cc2)cc3c2[nH]cc3)CC1,5.65843654
56,C(C1)C1c1cc(Nc2ccnc(Nc(cc3)cc4c3nc[nH]4)n2)n[nH]1,6.155751827
57,CC(C)(C)OC(Nc(ccc(-c1nn(CCN(CC2)CCC2N(C)C)c2ncnc(N)c12)c1)c1OC)=O,8.698970004
58,COCCOc(cc1)ccc1Nc(nc1)nc(Nc2cc(NC(C=C)=O)ccc2)c1F,8.698970004
59,CNS(c(cccc1)c1Nc(nc(Nc(ccc(N1CCN(C)CC1)c1)c1OC)nc1)c1Cl)(=O)=O,6.398752811
60,O=C1c(cccc2)c2-c2n[nH]c3cccc1c23,1
61,Nc(cc1)ncc1-c(cc12)ccc2ncc(C=C2)c1N(c1cccc(C(F)(F)F)c1)C2=O,1
62,CC(C)c(cnn1c(NCc2ccccc2)c2)c1nc2NCCCCCCN,1
63,Cc(ccc(C(Nc1cc(C(F)(F)F)c(CN2CCN(C)CC2)cc1)=O)c1)c1C#Cc1cnc2[nH]ncc2c1,7.441218272
64,CC(C)(C)c(cc1NC(Nc(ccc(Oc(ccnc2N3)c2N=CC3=O)c2)c2F)=O)nn1-c1ccccc1,5.217527748
65,CC(N(CC1)CCN1c(cc1)cc(OC)c1Nc(nc(Nc(ccc(N(CC1)CCN1C(C)=O)c1)c1OC)nc1)c1Cl)=O,5.790550004
